Reference,Nat./Syn.,Spec.,Var.,Shape,Weight,Color,Type,Nitrogen,Hydrogen,Platelets,Fluorsence,Treatment,Origin,Cert,Note,MFG.,DQS,Expected_L_Features,L_Crest_FWHM,Expected_B_Features,Expected_U_Features
284,Nat.,Tourmaline,Near Clolrless,Round,,Near Colorless,,,,,,,,,,,,,,nan,
285,Nat.,Garnet,Grossularite,Oval,,Colorless,,,,,,,,,,,,,,nan,
286,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,coated?,,,,,nan,
287,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,,,,,,nan,
288,Syn.,YAG,Green,Round,,Green,,,,,,,,,,,,,,nan,
289,Nat.,Diamond,,RBC,,Colorless,AB,,,X, ,,,,,,,,,nan,
290,Nat.,Quartz,Amethyst,Mq,,Purple,,,,,,,,,,,,,,nan,
291,Man-made,Glass,Lt Blue,Bead,,Lt. Blue,,,,,,,,,,,,,,nan,
292,Man-made,Glass,Dp. Green,Bead,,Dp.Green,,,,,,,,,,,,,,nan,
293,Man-made,Glass,Dp. Green,Cube,,Dp.Green,,,,,,,,,,,,,,nan,
294,Cultured(TC),Pearl,Black,Bead,,Black,,,,,,TC,,,Saltwater,,,,,nan,
295,Cultured(TC),Pearl,Black,Bead,,Black,,,,,,TC,,,Saltwater,,,,,nan,
296,Cultured(TC),Pearl,Black,Bead,,Black,,,,,,TC,,,Saltwater,,,,,nan,
297,Cultured(TC),Pearl,Black,Bead,,Black,,,,,,TC,,,Saltwater,,,,,nan,
298,Nat.,Diamond,,RBC,,Colorless,A,VH,VH,,,,,,AMS-NON DIA,,,,,nan,
299,Nat.,Diamond,,RBC,0.047,Colorless,A,VL,VL,NONE,,NONE,,,AMS-REFER,,,,,nan,
300,Syn.,Cubic Zirconia,Purple,RBC,,Purple,,,,,,,,,,,,,,nan,
301,Nat.,Turquoise,Blue,Oval Cab,,,,,,,,inpregnated,,Gia12569068,,,,,,nan,
302,Cultured(TC),Pearl,Blue,Bead,,Blue,,,,,,TC,,,Saltwater,,,,,nan,
303,,,,,,,,,,,,,,,,,,,,nan,
304,Nat.,Opal,White,Free Form,,White,,,,,,,,,,,,,,nan,
305,Man-made,Garnet/Glass(Doublet),Green,Round,,Green,,,,,,Doublet,,,,,,,,nan,
306,Syn,,Cat eye,Oval,,Blue-white,,,,,,,,,,,,,,nan,
307,Nat.,Colastrolite,Green,PrCab,,Green,,,,,,None,"Isle Royal,MI",,,,,,,nan,
308,man-made,Glass,Colorless,Round,,,,,,,,,,,foil backed,,,,,nan,
309,Nat.,Opal (plastic coated),Black,TriCab,,Black,,,,,,Plastic coated,,,,,,,,nan,
310,Nat.,Enstatite,Cat's eye,RdCab.,,Black,,,,,,,,,Cat's eye,,,,,nan,
311,Syn.,Opal,Black,OvCab,,Black,,,,,,,,,,,,,,nan,
312,Man-made,Pearl (imitation),Golden,Bead,,Golden,,,,,,,,,Imitation,,,,,nan,
313,Man-made,Pearl (imitation),White,Bead,,White,,,,,,,,,Imitation,,,,,nan,
314,Man-made,Pearl (imitation),White,Bead,,White,,,,,,,,,Imitation,,,,,nan,
315,,,,,,,,,,,,,,,,,,,,nan,
316,,,,,,,,,,,,,,,,,,,,nan,
317,Nat.,Turquise,Blue,SqCab,,Blue,,,,,,,,,,,,,,nan,
318,Nat.,Corundum,Ruby,Rough,,Purplish red,,,,,,,Thai,,,,,,,nan,
319,Syn.,Spinel,Blue,Round,,Blue,,,,,,,,,,,,,,nan,
320,Syn.,Cubic Zirconia,Colorless,SQ,,Colorless,,,,,,,,,,,,,,nan,
321,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
322,Nat.,Beryl/Emerald,Emerald,SQ,,Green,,,,,,, ,, ,,,,,nan,
323,Nat.,Beryl/Emerald,Emerald,SQ,,Green,,,,,,,African?,,,,,,,nan,
324,Syn.,Cubic Zirconia,,RBC,,Colorless,,,,,,,,,,,,,,nan,
325,Nat.,Jade/Nephrite,Nephrite,OvCab,,Green,,,,,,,,,,,,,,nan,
326,,,,,,,,,,,,,,,,,,,,nan,
327,,,,,,,,,,,,,,,,,,,,nan,
328,Nat, Pyargyeite,,,,matelic/red,,,,,,,,,,,,,,nan,
329,Man-made,Glass,Brown,Rough,,Brown,,,,,,,,,,,,,,nan,
330,Nat.,Opal,Blue-Green,OvCab,,Blue-Green,,,,,,,,,,,,,,nan,
331,Syn.,Cubic Zirconia,Red,RBC,,Red,,,,,,Coated,,,,,,,,nan,
332,,,,,,,,,,,,,,,,,,,,nan,
333,Nat.,Quartz,Amethyst,SqB,,Purple,,,,,,,,,,,,,,nan,
334,Nat.,Quartz,Amethyst,SqB,,Purple,,,,,,,,,,,,,,nan,
335,Nat.,Quartz,Amethyst,SqMB,,Purple,,,,,,,,,,,,,,nan,
336,Nat.,Quartz,Amethyst,SqB,,Purple,,,,,,,,,,,,,,nan,
337,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
338,Nat.,Peridot,Green,Bead,,Green,,,,,,,,,,,,,,nan,
339,Nat.,Quartz,Citrine,Bead,,Yellow,,,,,,,,,,,,,,nan,
340,Nat.,Garnet,Spessartite,Beads,,Dk. Orange,,,,,,,,,,,,,,nan,
341,Nat.,Quartz,Grey,Bead,,Grey,,,,,,,,,,,,,,nan,
342,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,,,,,,nan,
343,,,,,,,,,,,,,,,,,,,,nan,
344,,,,,,,,,,,,,,,,,,,,nan,
345,Nat.,Garnet,Almandite,Oval,,Red,,,,,,,,,,,,,,nan,
346,,,,,,,,,,,,,,,,,,,,nan,
347,Nat.,Quartz,Amethyst,SqB,,Purple,,,,,,,,,,,,,,nan,
348,Man-made,Garnet,YAG,RBC,1.5,Colorless,,,,,,,,,,,,,,nan,
349,Nat.,Garnet,Pyrope-Almandite,Pear,,Red,,,,,,,,,,,,,,nan,
350,Man-made,Glass,Yellow,Cube,,Yellow,,,,,,,,,,,,,,nan,
351,Nat.,Diamond,,RBC,,G,B>A,,x,x,,,,GIA 11858088,,,,,,nan,
352,Nat.,Diamond,,RBC,0.199,,A=B,VH,NONE,M,,NONE,,,,,,,,nan,
353,Nat.,Garnet,Pyrope ,Triangle,,Red,,,,,,,,,,,,,,nan,
354,Nat.,Beryl,Aquamarine,Round,,lt.Blue,,,,,,,,,,,,,,nan,
355,Nat.,Garnet,Rhodolite,Triangle,,Red,,,,,,,,,xrf1,,,,,nan,
356,Nat.,Garnet,Rhodolite,Triangle,,Red,,,,,,,,,xrf2,,,,,nan,
357,Nat.,Diamond,,RBC,,,AB,,,,,,,,,,,,,nan,
358,Nat.,Diamond,,RBC,,,A,,,x,,,,,,,,,,nan,
359,Nat.,Diamond,,RBC,0.172,,A>B,VH,NONE,M,,NONE,,,,,,,,nan,
360,Nat.,Garnet,Rhodolite,Triangle,,Red, , , , ,, ,,,xrf3,,,,,nan,
361,Nat.,Diamond,,RBC,0.7,Colorless,AB,,,x,,,,,,,,,,nan,
362,Nat.,Diamond,,RBC,0.494,,B>A,,x,x,SB,,,,,,,,,nan,
363,Nat.,Diamond,,RBC,,Colorless,B>A,,x,x,SB,,,,cvd-LA,,,,,nan,
364,Nat.,Diamond,,RBC,0.201,Colorless,A=B,VH,NONE,VH,SB,NONE,,,,,,,,nan,
365,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,,,,,,nan,
366,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Mozam,,Gemfield,,,,,nan,
367,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Mozam,,Gemfield,,,,,nan,
368,Nat.,Garnet,Rhodolite,Triangle,,Red,,,,,,,,,xrf4,,,,,nan,
369,Syn. ,Moissanite,Green,SQ,1.32,Green,,,,,,,,,,,,,,nan,
370,Nat.,Garnet,Rhodolite,Triangle,,Red,,,,,,,,,xrf5,,,,,nan,
371,Nat.,Diamond,,RBC,0.502,,A>>B,VH,NONE,VL,,NONE,,,,,,,,nan,
372,Nat.,Diamond,,RBC,,FVY,A=B,,,,,TC (HPHT),,,,,,,,nan,
373,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
374,Nat.,Garnet,Rhodolite,Rough,,Purplish red, , , , ,, ,,,,,,,,nan,
375,Man-made,Pearl,Mother of Pearl,Button,,White,,,,,,,,,Immitation,,,,,nan,
376,Cultured,Pearl,White,Bead,,White,,,,,,None,,,Freshwater,,,,,nan,
377,Cultured,Pearl,White,Bead,,White,,,,,,None,,,Freshwater,,,,,nan,
378,Cultured,Pearl,White,Bead,,White,,,,,,None,,,Freshwater,,,,,nan,
379,Man-made,Pearl,White,Bead,,White,,,,,,,,,Imitation,,,,,nan,
380,Man-made,Pearl,White,Bead,,White,,,,,,,,,Imitation,,,,,nan,
381,,,,,,,,,,,,,,,,,,,,nan,
382,,,,,,,,,,,,,,,,,,,,nan,
383,,,,,,,,,,,,,,,,,,,,nan,
384,,,,,,,,,,,,,,,,,,,,nan,
385,,,,,,,,,,,,,,,,,,,,nan,
386,,,,,,,,,,,,,,,,,,,,nan,
387,,,,,,,,,,,,,,,,,,,,nan,
388,Nat.,Beryl/AquaAquamarineRough,,,,vlt. Blue,,,,,,,,,,,,,,nan,
389,Man-made,Glass,Dk Blue,shield,,Dk. Blue,,,,,,,,,,,,,,nan,
390,Nat.,Tourmaline,Blue-Green (Paribia),Round,,Blue-Green,,,,,,,Brazil,,,,,,,nan,
391,Nat.,Diamond,Blue,,,Blue,A>>B,,,,,TC (Irrad.),,,,,,,,nan,
392,Nat.,Tourmaline,Blue-Green (Paribia),Round,,Blue-Green,,,,,,,Brazil,,,,,,,nan,
393,Nat.,Tourmaline,Blue-Green (Paribia),Round,,Blue-Green,,,,,,,Brazil,,,,,,,nan,
394,Nat.,Tourmaline,Blue-Green (Paribia),Round,,Blue-Green,,,,,,,Brazil,,,,,,,nan,
395,Man-made,Glass,Md Blue,Cube,,Md. Blue,,,,,,,,,,,,,,nan,
396,Man-made,Glass,Yellow,Cube,,Yellow,,,,,,,,,,,,,,nan,
397,Man-made,Glass,Dk Blue,Cube,,Dk. Blue,,,,,,,,,,,,,,nan,
398,Man-made,Glass,Md Red,Cube,,Md. Red,,,,,,,,,,,,,,nan,
399,Man-made,Glass,Dk Blue,Bead,,Dk. Blue,,,,,,,,,,,,,,nan,
400,Man-made,Glass,Lt Blue,Bead,,Lt. Blue,,,,,,,,,,,,,,nan,
401,Man-made,Glass,Dk Blue,Bead,,Dk. Blue,,,,,,,,,,,,,,nan,
402,Man-made,Glass,Md Red,Bead,,Md. Red,,,,,,,,,,,,,,nan,
403,Man-made,Glass,Md Or,Bead,,Md. Or,,,,,,,,,,,,,,nan,
404,Man-made ,Glass,Md. Green,Bead,,Md. Green,,,,,,,,,,,,,,nan,
405,Man-made,Glass,Dk Purple,Cube,,Dk. Purple,,,,,,,,,,,,,,nan,
406,Man-made ,Glass,lt. Gray,Bead,,lt. Gray,,,,,,,,,,,,,,nan,
407,Man-made ,Glass,v.Dk Red,Bead,,v.DkRed,,,,,,,,,,,,,,nan,
408,Man-made,Glass, Md. Blue,Bead,,Md. Blue,,,,,,,,,,,,,,nan,
409,Man-made ,Glass,Md. Green,Bead,,Md.Green,,,,,,,,,,,,,,nan,
410,Man-made ,Glass,Dk. Green,Bead,,Dk.Green,,,,,,,,,,,,,,nan,
411,Nat. ,Peridot,blGn,Round,,blGn,,,,,,,,,,,,,,nan,
412,Nat.,Diamond,,RBC,0.172,Colorless,A=B,VH,NONE,VL,,NONE,,,,,,,,nan,
413,Nat.,Diamond,,RBC,0.181,Colorless,A>B,VH,NONE,M,SB,NONE,,,,,,,,nan,
414,Nat.,Diamond,,RBC,,Colorless,A+B,,,,SB,NONE,,,,,,,,nan,
415,Nat.,Diamond,,RBC,,,B>A,M,L,M,,NONE,,,,,,,,nan,
416,Nat.,Diamond,,RBC,,Colorless,A>>B,L,NONE,VL,,NONE,,,,,,,,nan,
417,Nat. ,Diamond,,RBC,,,,,,,,NONE,,,,,,,,nan,
418,Nat.,Diamond,,Rough,,,,,,,,,,,,,,,,nan,
419,Nat.,Amber,Orange,Free Form `,,Orange,,,,,,,,,,,,,,nan,
420,,,,,,,,,,,,,,,,,,,,nan,
421,Nat.,Corundum, Sapphire,Oval,,Blue,,,,,,,,,Anadi,,,,,nan,
422,Syn.,,Cat eye,,,Blue-white,,,,,,,,,,,,,,nan,
423,Nat.,Corundum,Orange Sapphire,Oval,,Orange,,,,,,,,,,,,,,nan,
424,Nat.,Corundum,Yellow Sapphire,Round,,Yellow,,,,,,,,,,,,,,nan,
425,Nat.,Quartz,Gray,Round,,Gray,,,,,,,,,,,,,,nan,
426,,,,,,,,,,,,,,,,,,,,nan,
427,Nat/Syn,Coral,Pink,OvCab,,Pink,,,,,,,,,,,,,,nan,
428,Nat.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,,,,,,,,nan,
429,,,,,,,,,,,,,,,,,,,,nan,
430,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Kimberly,,pair 603-606,,,,,nan,
431,Nat.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,,,,,,,,nan,
432,Nat.,Diamond,,RBC,0.25,J,,,,,,,,Gia 2145832502,I1,,,,,nan,
433,Nat.,Topaz,Blue,Oval,6.5,Blue,,,,,,Irrad.,,2-322-5580,,,,,,nan,
434,Nat.,Quartz,Citrine,Bead,,Yellow,,,,,,,,,,,,,,nan,
435,Nat.,Topaz,Blue,Cushion,,Blue,,,,,,Irrad.,,,,,,,,nan,
436,Nat.,Topaz,Blue,SQCushion,,Blue,,,,,,Irrad.,,,,,,,,nan,
437,Nat.,Topaz,Blue,Round,,Blue,,,,,,Diffused,,,,,,,,nan,
438,,,,,,,,,,,,,,,,,,,,nan,
439,,,,,,,,,,,,,,,,,,,,nan,
440,Nat.,Corundum/Ruby,Ruby,MQ,,Red,,,,,,Heated,,,,,,,,nan,
441,Nat.,Crysoprase,Green,Round,,,,,,,,,,,,,,,,nan,
442,Nat.,Quartz,Citrine,Round,,Yellow,,,,,,,,,,,,,,nan,
443,,,,,,,,,,,,,,,,,,,,nan,
444,,,,,,,,,,,,,,,,,,,,nan,
445,Nat.,Opal,White,RdCab,,White,,,,,,,,,,,,,,nan,
446,Syn.,Opal,White,RdCab,,White,,,,,,,,,pair613,,,,,nan,
447,man-made,Glass,Colorless,Round,,Colorless,,,,,,loaded,,,,,,,,nan,
448,Syn.,Quartz,Yellow,Bead,,Yellow,,,,,,,,,,,,,,nan,
449,Syn. (FF),Corundum/Ruby,Ruby,Oval,,Red,,,,,,,,,,,,,,nan,
450,Chalcedony,Carnelion,,Button,,BrRd,,,,,,,,,,,,,,nan,
451,Syn. (HPHT),Diamond,,RBC,0.027,FIY,1b,,,,,HPHT,,,,,,,,nan,
452,Syn.(HPHT),Diamond,,RBC,0.031,FIY,1b,,,,,HPHT,,,,,,,,nan,
453,Nat.,Diamond TC,,RBC,0.147,"FY,TC",AB,VH,L,VH,,TC ,,,,,,,,nan,
454,Nat.,Diamond,,RBC,,FgnY,A+B+b,,,,,None,,,,,,,,nan,
455,Nat.,Diamond,,RBC,,FIY,A+B+b,,,,None,None,,,,,,,,nan,
456,Nat.,Diamond,,RBC,0.005,FIY,,,,,,TC(iradd),,,,,,,,nan,
457,Syn. (HPHT),Diamond,,RBC,0.03,FVY,1b,M,NONE,NONE,,,,,,,,,,nan,
458,Nat.,Quartz,Chalcedony/Carnelion,Free form,,BrOr,,,,,,,,,,,,,,nan,
459,Nat.,Tourmaline,Yellow,Oval,,Yellow,,,,,, ,,,Rafco,,,,,nan,
460,Nat.,Tourmaline,Yellow,Pear,,brY,,,,,,,,,,,,,,nan,
461,Nat.,Peridot,Green,Oval,,v lt Green,,,,,,,,,,,,,,nan,
462,Nat.,Tourmaline,Blue,Rectangle,,Dk. Blue,,,,,,,,,,,,,,nan,
463,Nat.,Diamond,,RBC,0.274,,AB,VH,H,NONE,,,,,,,,,,nan,
464,Nat.,Corundum/Ruby,Ruby,Cushion,,Red,,,,,,No Heat,Burma,,,,,,,nan,
465,Nat.,Corundum/Ruby,Ruby,Cushion,,Red,,,,,,No Heat,Burma,,,,,,,nan,
466,Nat.,Corundum,Ruby,Rough,,Red,,,,,,No Heat,Burma,,,,,,,nan,
467,Nat.,Corundum,,,,,,,,,,Heated,,,,,,,,nan,
468,Nat.,Tourmaline,Blie(indicilite),SQ ,,Blue,,,,,,,,,,,,,,nan,
469,Syn. (CVD),Diamond,,RBC,,,2A,,,,,,,,,,,,,nan,
470,Syn. (HPHT),Diamond,,RBC,,,,,,,,,,,,,,,,nan,
471,Nat.,Diamond,,RBC,0.318,,AB,VH,NONE,VH,,,,,,,,,,nan,
472,Nat.,Diamond,,RBC,0.305,,AB,VH,NONE,VH,,,,,,,,,,nan,
473,Nat.,Garnet,Color-Change,Round,,brOr-Pl,,,,,,,,,,,,,,nan,
474,Nat.,Quartz,Amythest,Round,,Pruple,,,,,,,,,,,,,,nan,
475,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
476,Nat.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,African,,,,,,,nan,
477,Man-made,Coral,Red,Ov.Cab,,Red,,,,,,,,,,,,,,nan,
478,Nat.,Opal,Blue-Green,RdCab,,Blue-Green,,,,,,,,,,,,,,nan,
479,Nat.,Tourmaline,Blue,SQCushion,,Blue ,,,,,,,,,,,,,,nan,
480,Nat,Pearl,White,Bead,,White,,,,,,None,,,Anadi,,,,,nan,
481,Nat.,Corundum,Purple Sapphire,Round,,Purple,,,,,,,,,pair 617,,,,,nan,
482,Nat.,Quartz,Amythest,Round,,Pruple,,,,,,,,,,,,,,nan,
483,Nat.,Corundum,Yellow Sapphire,Oval,,Yellow,,,,,,,,,,,,,,nan,
484,Syn. (HPHT),Diamond,,RBC,0.018,,2A + BORON,,,,,,,,,,,,,nan,
485,Nat.,Serpentine,Black,Bead,,Black,,,,,,Plastic Coated,,,,,,,,nan,
486,Culture,Pearl,Blue,Bead,,Bllue,,,,,,TC,,,,,,,,nan,
487,Man-made ,Glass,brOr,Rough,,,brOr,,,,,,,,,,,,,nan,
488,Nat.,Diamond,,RBC,,,B>>A,,,,,,,,,,,,,nan,
489,Nat.,Diamond,,RBC,,,B PURE,,,,,,,,,,,,,nan,
490,Nat.,Diamond,,RBC,0.019, ,2A, , , ,, ,,,,,,,,nan,
491,Nat.,Diamond,,RBC,0.017,,B PURE,L,M,NONE,,,,,,,,,,nan,
492,Nat.,Diamond,,RBC,0.212,,B>>A, , , ,NONE,,,,,,,,,nan,
493,Nat.,Diamond,,RBC,0.068,,B PURE,H,M,H,,,,,,,,,,nan,
494,Nat.,Diamond,,RBC,0.174,,A>>B,M,VL,VL,NONE,,,,,,,,,nan,
495,Nat.,Diamond,,RBC,0.022,,A=B,VL,NONE,NONE,,,,,,,,,,nan,
496,Nat.,Diamond,,RBC,0.021,,2A,,,,,,,,,,,,,nan,
497,Nat.,Diamond,,RBC,0.027,,2A,,,,,,,,,,,,,nan,
498,, ,,,,,,,,,,,,,,,,,,nan,
499,Nat.,Diamond,,RBC,0.021,,B>A,H,L,H,,,,,,,,,,nan,
500,Nat.,Diamond,,RBC,,Colorless,A>B,VH,,Low,,,,,,,,,,nan,
501,Nat.,Diamond,,RBC,,Colorless,A,Low,,,,,,,,,,,,nan,
502,Nat.,Diamond,,RBC,,,,,,,,,,,,,,,,nan,
503,Nat.,Diamond,,RBC,,,,,,,,,,,,,,,,nan,
504,Nat.,Diamond,,RBC,,,,,,,,,,,,,,,,nan,
505,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
506,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
507,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
508,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
509,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
510,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
511,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
512,Nat.,Nat. Diamond ,,RBC,,,,,,,,,,,,,,,,nan,
513,Nat.,Nat. Diamond ,,RBC,,E,AB,VH,NONE,H,,,,,,,,,,nan,
514,Nat.,Nat. Diamond ,,RBC,,F,,,,,,,,,,,,,,nan,
515,Nat.,Nat. Diamond ,,PRN,,E,A=B,VH,NONE,H,,,,,,,,,,nan,
516,Nat.,Nat. Diamond ,,RBC,0.02,,,,,,,,,,,,,,,nan,
517,Nat.,Nat. Diamond ,,RBC,,E,AB,VH,M,NONE,,,,,,,,,,nan,
518,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Mozam,,Gemfield,,,,,nan,
519,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Mozam,,Gemfield,,,,,nan,
520,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
521,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
522,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
523,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
524,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
525,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
526,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
527,Syn. (FF),Corundum,Ruby,Round,,Red,,,,,,,,,greenwood,,,,,nan,
528,Nat.,Garnet,Rhodolite,Rough,,Purplish red, , , , , , ,,,,,,,,nan,
529,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
530,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
531,Syn.,Garnet,YAG,RBC,,Colorless,,,,,,,,,,,,,,nan,
532,Nat.,Jade/Nephrite,Green,Bead,,Green,,,,,,,,,pair 175,,,,,nan,
533,Nat.,Tourmaline,Green(Cr),Oval,,Green,,,,,,,,,,,,,,nan,
534,Nat.,Tourmaline,Green(Cr),Oval,,Green,,,,,,,,,,,,,,nan,
535,Nat.,Tourmaline ,Green(Cr),Round,,Green,,,,,,,,,,,,,,nan,
536,Nat.,Tourmaline,Green(Cr),Oval,,Green,,,,,,,,,,,,,,nan,
537,Nat.,Tourmaline,Bi-Color,Rectangle,,Red/Green,,,,,,,,,,,,,,nan,
538,Syn.,Beryl,Emerald,Oval,,Green,,,,,,,Gilson,,,,,,,nan,
539,Nat.,Beryl,Emerald,Round,,Green,,,,,,,African,,,,,,,nan,
540,Nat.,Beryl,Enerald,Reond,,Green,,,,,,,,,,,,,,nan,
541,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
542,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
543,Nat.,Topaz,Blue,Bead,,Blue,,,,,,,,,,,,,,nan,
544,Nat.,Quartz,Citrine,Round,,v. lt Yellow,,,,,,,,,,,,,,nan,
545,Nat.,Peridot,Green,Bead,,Green,,,,,,,,,,,,,,nan,
546,Nat.,Garnet,Spessartite,Bead,,Dk Orange,,,,,,,,,,,,,,nan,
547,Nat.,Garnet,Spessartite,Bead,,Dk Orange,,,,,,,,,,,,,,nan,
548,Nat.,Peridot,Green,Bead,,Green,,,,,,,,,,,,,,nan,
549,Nat.,Garnet,Spessartite,Bead,,Dk Orange,,,,,,,,,,,,,,nan,
550,Nat.,Quartz,Citrine,Round,,v. lt Yellow,,,,,,,,,,,,,,nan,
551,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
552,Nat.,Corundum,Ruby,Oval,,Red,,,,,,Heated,,,,,,,,nan,
553,Nat.,Corundum,Yellow Sapphire,Oval,,Yellow,,,,,,,Montana,,,,,,,nan,
554,Nat.,Corundum,Orange Sapphire,Oval,,Orange,,,,,,,Montana,,,,,,,nan,
555,Nat.,Corundum,Orange Sapphire,Oval,,pkOr,,,,,,,Montana,,,,,,,nan,
556,Nat.,Garnet,Tsavorite,Round,,Green,,,,,,oil,,,,,,,,nan,
557,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
558,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
559,Nat.,Diamond,,RBC,0.02,FVY,AB,VH,M,NONE,,NONE,,,,,,,,nan,
560,Nat.,Diamond,,RBC,0.01,FVY,,,,,,TREATED,,,,,,,,nan,
561,Syn.,Chrysoberyl,Alexandrite,Oval,,Red-Green,,,,,,,,,,,,,,nan,
562,Syn.,Chrysoberyl,Alexandrite,Oval,,Red-Green,,,,,,,Kyosera,,,,,,,nan,
563,Nat.,Beryl/Emerald,Emerald,Oval,,,,,,,,,,,,,,,,nan,
564,Nat.,Beryl/Emerald,Emerald,Frag.,,,,,,,,,,,,,,,,nan,
565,Nat.,Beryl/Emerald,Emerald,Round,,,,,,,,,,,,,,,,nan,
566,Nat.,Beryl/Emerald,Emerald,Marquie,,,,,,,,,,,,,,,,nan,
567,Nat.,Beryl/Emerald,Emerald,Oval,,,,,,,,,,,,,,,,nan,
568,Nat.,Beryl/Emerald,Emerald,Marquie,,Green,,,,,,, ,,,,,,,nan,
569,Nat.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,,,,,,,,nan,
570,Syn. hpht,Diamond,,RBC,0.02,E,2A + BORON,,,,,,,,,HPHT,,,,nan,
571,Syn. hpht,Diamond,,RBC,0.02,E,2A  ,,,,,,,,,HPHT,,,,nan,
572,Nat.,Diamond,,RBC,,,1a,,,,,,,,Orange in DQS,,,,,nan,
573,Nat.,Diamond,,RBC,0.006,Colorless,2A/1B,,,,,,,,,,,,,nan,
574,Syn. hpht,Diamond,0.02,RBC,0.02,E,2A,,,,,,,,,HPHT,,,,nan,
575,Nat.,Corundum,Sapphire,Sq,,Blue,,,,,,,,,,,,,,nan,
576,Nat.,Corundum,Sapphire,Sq,,Blue,,,,,,,,,Mag.,,,,,nan,
577,Nat.,Corundum,Sapphire,Round,,Blue,,,,,,Heat,,,,,,,,nan,
578,Nat.,Corundum/Ruby,Ruby,Pear,,Red,,,,,,,,,,,,,,nan,
579,Nat.,Topaz,Blue,Marquise,,Blue,,,,,,Irrad,,,,,,,,nan,
580,Nat.,Tourmaline,Green,Triangle,,lt.Green,,,,,,,,,,,,,,nan,
581,Nat.,Tourmaline,Green,Triangle,,m.Green,,,,,,,,,,,,,,nan,
582,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Kimberly,,,,,,,nan,
583,Syn. hpht,Diamond,,RBC,0.02,FVY,1b,,,,,,,,,HPHT,,,,nan,
584,Syn. hpht,Diamond,,RBC,0.03,FVY,1b,,,,,,,,,HPHT,,,,nan,
585,Nat.,Diamond,,RBC,,,A?,,,,,,,,,,,,,nan,
586,Nat.,Diamond,,RBC,0.175,,A=B?,VH,NONE,H,,,,,,,,,,nan,
587,Nat.,Diamond,,RBC,0.191,,A>>B,L,VL,L,,,,,,,,,,nan,
588,Nat.,Diamond,,RBC,0.181,,A>>B,VH,NONE,M,,,,,,,,,,nan,
589,Nat.,Diamond,,RBC,0.203,,A>>B,VH,NONE,L,,,,,,,,,,nan,
590,Nat.,Corundum/Sapphire,Pink Sapphire,PEAR,,Pink,,,,,,,,,,,,,,nan,
